address,latitude,longitude,name
515 S Delaware Ave,43.147024,-93.19974,Hardee's
2310 4th St SW,43.148534,-93.235558,Burger King
1102 Highway 72 E,34.91913,-88.51157,Domino's Pizza
705 1st Ave E,41.699413,-93.04532,Burger King
317 W 6th St Ste 105-106,46.72966,-117.00437,Domino's Pizza
120 Boone Heights Dr,36.201496,-81.656779,Burger King
525 W King St,36.21992,-81.68616,Jimmy John's
1778 Blowing Rock Rd,36.19887,-81.65861,Jimmy John's
3100 Foothills Ave,43.14158,-115.66251,Jack In The Box
2910 American Legion Blvd,43.136722,-115.665115,Wendy's
2840 American Legion Blvd,43.1371,-115.66442,McDonald's
946 Carolina Ave,35.555,-77.0592,Waffle House
1212 N Main Ave,43.09082,-96.17456,McDonald's
869 Pole Line Rd,42.59206,-114.45867,McDonald's
1733 Addison Ave E,42.56322,-114.45229,Pizza Hut
305 Blue Lakes Blvd N,42.56708,-114.46094,McDonald's
200 1st St W,42.468862,-91.895944,Burger King
1811 1st St W,42.46783,-91.91736,McDonald's
215 Wb McLean Dr,34.69101,-77.06811,Quiznos
1243 Parkway Drive,43.196641,-112.35846,Arby's
1205 Parkway Dr,43.19695,-112.35766,Burger King
1115 New Pointe Blvd,34.2126,-78.0233,Arby's
700 N Webster St,39.55646,-89.29686,Wendy's
610 N Webster St,39.555018,-89.297434,Taco Bell
510 N Webster St,39.5542,-89.297,KFC
805 S Kalamazoo St,42.211187,-85.890822,Arby's
2707 Trademark Rd,34.264065,-77.852936,Burger King
805 S College Rd,34.22091,-77.88306,Burger King
2050 N State Road 50,41.188,-87.8501,McDonalds
418 Roland Ave,34.427555,-77.546369,Hardee's
220 Lake Park Blvd,34.0313,-77.89517,McDonald's
109 Village Road,34.233062,-77.996404,Bojangles' Famous Chicken 'n Biscuits
104 Village Rd NE,34.2339,-77.996,KFC
901 North Grand,39.8167,-89.6428,McDonald's
107 Ariel Circle,41.025382,-93.796834,Taco Bell
910 Cedar St,41.77486,-91.12799,Subway
601 Cedar St,41.769334,-91.128399,Hardee's
2883 S Carolina 160,35.0603,-80.9922,McDonalds
510 Rigby Lake Dr,43.6813,-111.9088,Wendy's
2740 South Hitt Road,43.472946,-111.985083,Taco Bell
424 S Woodruff Ave,43.49399,-111.99958,Jack in the Box
123 S 4th Ave,42.86532,-112.44441,Jack in the Box
625 S 5th Ave,42.86235,-112.43917,Jimmy John's
1544 Pocatello Creek Rd,42.89864,-112.43338,Subway
791 Yellowstone Ave,42.88932,-112.45208,Arby's
929 Yellowstone Ave,42.891976,-112.451452,Wendy's
1735 E Vienna St,37.462935,-89.22777,Burger King
140 E Vienna St,37.459786,-89.245351,Hardee's
1195 E Vienna Street,37.462324,-89.23027,Taco Bell
568 N 2nd E,43.835842,-111.77808,KFC
545 N 2nd E,43.83563,-111.77808,Wendy's
461 N 2nd E,43.835073,-111.778081,Jack in the Box
175 Valley River Dr,43.83369,-111.77853,McDonald's
346 N 2nd E,43.83341,-111.77794,Dairy Queen
478 N 2nd E,43.83616,-111.77758,Arby's
